ticket_number;requestor_name;owner_group;issue_category;ticket_type;severity;severity_num;days_open;satisfaction_ind;ticket_status;created_date
354-993073-2705-9-U;Wilmer Talkington;Security and Governance;Access/Login;Request;Low;1;14;Satisfied;Open;2020-04-09
302-583772-2942-5-H;Field Poyle;Hardware;Hardware;Issue;Medium;2;10;Unknown;Resolved;2020-07-28
433-653760-5453-1-A;Adda Wickwarth;Hardware;Systems;Request;Low;1;30;Unknown;Waiting for Requestor Feedback;2020-04-23
720-053633-8960-4-F;Viva Frantzeni;Hardware;Systems;Request;Unassigned;0;33;Unsatisfied;Open;2020-08-09
174-861054-6349-6-T;Juliana Swiffan;Software;Software;Issue;Low;1;8;Satisfied;Waiting for Requestor Feedback;2020-09-26
751-109136-5295-0-I;Maurizio Brain;Hardware;Systems;Issue;High;3;6;Unknown;Open;2020-06-28
805-792310-6484-9-D;Yehudit Maccrea;Networking;Access/Login;Request;Medium;2;5;Unknown;Open;2020-04-28
242-270030-1896-6-K;Dedie Dietsche;Architecture;Systems;Issue;Medium;2;7;Satisfied;Waiting for Requestor Feedback;2020-10-11
321-779825-7332-3-H;Cobby Lamberto;Software;Software;Issue;Low;1;20;Satisfied;Open;2020-04-24
015-945748-0685-5-A;Talbert Brumham;Hardware;Hardware;Issue;Unassigned;0;24;Unknown;Open;2020-07-28
674-841743-3290-6-W;Idette Farlowe;Software;Software;Request;Unassigned;0;3;Unsatisfied;Open;2020-08-31
360-201941-0374-8-A;Trudey Croisdall;Software;Access/Login;Issue;High;3;8;Satisfied;Open;2020-04-01
816-190783-8155-4-J;Kellen Roloff;Architecture;Hardware;Issue;High;3;34;Satisfied;Open;2020-04-11
054-863627-1846-2-C;Lillis Keemar;Networking;Systems;Issue;Low;1;14;Satisfied;Open;2020-09-14
969-873347-3882-3-A;Marten Clausen;Networking;Systems;Request;Low;1;17;Satisfied;Resolved;2020-07-24
843-755561-7323-1-M;Leo Duthy;Security and Governance;Access/Login;Request;Medium;2;19;Satisfied;Open;2020-03-15
748-663206-6231-0-O;Claudine Broderick;Software;Access/Login;Issue;Unassigned;0;34;Unknown;Open;2020-10-11
717-017090-4227-2-B;Huntlee Lahy;Architecture;Systems;Request;Low;1;6;Unknown;Open;2020-06-20
362-028068-0223-3-X;Torrence Peddel;Hardware;Systems;Request;Unassigned;0;19;Unknown;Waiting for Requestor Feedback;2020-06-29
811-763853-8832-1-A;Johnnie Grenshields;Networking;Hardware;Issue;Unassigned;0;31;Unknown;Resolved;2020-06-07
077-767018-9466-5-Z;Raphael Shurey;Security and Governance;Access/Login;Request;Unassigned;0;5;Unknown;Open;2020-08-26
111-944378-1483-2-W;Ruthie Furness;Hardware;Hardware;Issue;High;3;25;Satisfied;Open;2020-04-09
153-237593-3360-7-S;Mehetabel Byforth;Architecture;Systems;Request;Unassigned;0;33;Unknown;Open;2020-06-20
282-434760-3289-0-G;Parker Dives;Networking;Hardware;Request;Medium;2;6;Satisfied;Resolved;2020-09-07
066-141442-1361-3-K;Leia Carlyle;Architecture;Systems;Request;Low;1;35;Satisfied;Open;2020-04-05
204-870890-4744-8-D;Bevan Gyves;Hardware;Hardware;Issue;Low;1;6;Satisfied;Open;2020-03-13
008-402741-8605-4-L;Karina Dalla;Hardware;Systems;Request;Unassigned;0;13;Unsatisfied;Open;2020-07-21
263-139068-4217-6-P;Rolland Lukovic;Security and Governance;Access/Login;Request;Unassigned;0;1;Satisfied;Open;2020-06-18
702-883534-6592-3-B;Andreas Bromilow;Software;Access/Login;Issue;Low;1;35;Satisfied;Waiting for Requestor Feedback;2020-05-01
767-924177-4268-2-C;Sandye Freer;Software;Software;Request;Low;1;4;Unknown;Open;2020-03-18
393-390834-9035-6-M;Bertrand Merryfield;Networking;Hardware;Issue;Unassigned;0;26;Satisfied;Resolved;2020-05-31
622-450029-3544-3-H;Krista Gillise;Architecture;Systems;Issue;Low;1;34;Satisfied;Open;2020-04-07
014-627411-2870-7-G;Bastien Sadry;Hardware;Systems;Issue;High;3;28;Satisfied;Open;2020-08-05
919-059977-2654-9-B;Jereme Assard;Hardware;Hardware;Issue;Low;1;22;Satisfied;Resolved;2020-09-08
842-251032-3706-7-J;Berkie Cotelard;Architecture;Systems;Request;Unassigned;0;4;Satisfied;Waiting for Requestor Feedback;2020-06-12
337-426001-4048-3-P;Lyn Bentjens;Networking;Hardware;Request;Unassigned;0;35;Unknown;Open;2020-04-30
111-390907-8551-9-I;Abbe Norbury;Hardware;Systems;Request;Low;1;19;Unknown;Open;2020-07-06
501-076309-9802-0-T;Allix Micheu;Hardware;Hardware;Request;Unassigned;0;12;Unknown;Open;2020-10-21
702-558635-4246-3-X;Lynnea Bott;Security and Governance;Access/Login;Request;Medium;2;36;Unknown;Open;2020-07-20
486-881245-8809-7-N;Orelle Willford;Hardware;Hardware;Request;Low;1;23;Unknown;Resolved;2020-05-29
999-783080-6693-8-Z;Skell Newton;Software;Software;Request;Medium;2;26;Satisfied;Open;2020-10-26
330-504247-3813-3-T;Marijn Beig;Security and Governance;Access/Login;Issue;Medium;2;12;Satisfied;Resolved;2020-05-17
882-606124-7513-3-K;Far Townsend;Software;Software;Issue;Low;1;24;Satisfied;Open;2020-04-21
057-291041-5365-4-Y;Olivie Barbey;Security and Governance;Access/Login;Request;Unassigned;0;10;Satisfied;Open;2020-05-18
076-351912-0356-7-Y;Lizabeth Vodden;Software;Access/Login;Request;Medium;2;36;Satisfied;Open;2020-10-22
788-546423-8340-7-X;Sibyl Skippen;Software;Access/Login;Issue;Medium;2;14;Unknown;Open;2020-04-14
414-289316-8989-0-T;Boyd Bernot;Networking;Systems;Issue;Unassigned;0;19;Unknown;Open;2020-09-03
042-187049-9999-3-A;Jasun Jacquest;Security and Governance;Access/Login;Issue;Low;1;13;Satisfied;Open;2020-03-15
318-054370-8561-2-X;Barrett Stuckley;Security and Governance;Access/Login;Issue;High;3;11;Satisfied;Waiting for Requestor Feedback;2020-06-07
299-541799-1979-8-X;Aylmer Spicer;Software;Access/Login;Request;Medium;2;16;Satisfied;Open;2020-07-17
803-656145-7056-7-C;Siobhan Chaudhry;Software;Software;Request;High;3;12;Unknown;Open;2020-06-18
314-206170-9399-9-E;Khalil Rousel;Software;Software;Issue;Medium;2;9;Unsatisfied;Open;2020-04-10
315-956169-9911-0-P;Tyrone Belf;Networking;Hardware;Issue;High;3;18;Unknown;Open;2020-05-08
381-692911-0419-8-Y;Cullen Weeds;Software;Software;Issue;Low;1;8;Satisfied;Open;2020-07-21
276-960964-6385-2-U;Rainer McCamish;Security and Governance;Access/Login;Issue;High;3;2;Unknown;Open;2020-08-10
179-313216-1617-5-X;Cirilo Kliement;Hardware;Hardware;Request;Low;1;1;Satisfied;Open;2020-10-28
125-098431-2679-8-K;Bette Peres;Software;Software;Issue;Medium;2;19;Unknown;Open;2020-10-26
419-247679-3124-2-Z;Fanchon Newvell;Security and Governance;Access/Login;Request;Low;1;15;Unknown;Resolved;2020-10-16
499-713186-5637-8-H;Ami Rawlyns;Architecture;Systems;Request;Low;1;24;Satisfied;Resolved;2020-08-01
417-693835-7761-0-Z;Kendra Aylmore;Hardware;Hardware;Issue;High;3;4;Unknown;Open;2020-08-18
464-128212-0937-1-N;Linn Colquete;Software;Software;Issue;Unassigned;0;14;Unknown;Open;2020-05-04
410-176360-8171-2-O;Ninon Akeherst;Software;Access/Login;Request;Low;1;7;Satisfied;Open;2020-03-02
738-655077-1257-8-L;Ly Dain;Software;Software;Request;High;3;33;Satisfied;Open;2020-08-01
595-379354-5153-5-O;Renaldo Sweetman;Hardware;Hardware;Issue;Unassigned;0;15;Unknown;Resolved;2020-03-30
082-857684-7243-2-F;Cherish Wenderott;Software;Software;Request;Low;1;6;Unknown;Waiting for Requestor Feedback;2020-07-26
251-850867-3920-4-I;Mechelle Meek;Architecture;Hardware;Issue;Medium;2;8;Unsatisfied;Open;2020-06-11
422-480189-0463-6-C;Burt Teulier;Networking;Hardware;Issue;Low;1;16;Satisfied;Open;2020-07-13
802-649953-9900-3-B;Gusti Sallings;Networking;Hardware;Issue;Unassigned;0;32;Satisfied;Open;2020-08-16
327-369024-5437-4-V;Curry Abrey;Networking;Hardware;Request;Medium;2;18;Satisfied;Open;2020-04-22
967-843648-3045-4-G;Bernete Dewdeny;Software;Access/Login;Request;Unassigned;0;22;Unknown;Open;2020-10-25
699-541776-6411-0-Z;Thibaut Stucksbury;Security and Governance;Access/Login;Request;Unassigned;0;32;Satisfied;Open;2020-05-08
559-762906-7508-4-R;Murry Lohrensen;Networking;Access/Login;Issue;High;3;30;Satisfied;Open;2020-08-31
530-975359-8277-6-E;Nickola Swinfon;Software;Software;Issue;Low;1;30;Unknown;Open;2020-07-01
544-346709-1875-2-B;Rab Pickton;Security and Governance;Access/Login;Request;Low;1;17;Satisfied;Open;2020-08-23
299-711033-6832-2-Z;Irvine Brun;Architecture;Hardware;Request;Unassigned;0;27;Unknown;Open;2020-08-30
612-854170-4080-3-P;Guy Eggar;Security and Governance;Access/Login;Request;Unassigned;0;4;Satisfied;Waiting for Requestor Feedback;2020-04-25
576-470330-8524-9-R;Delphinia Casini;Networking;Systems;Request;Unassigned;0;18;Satisfied;Open;2020-07-11
664-153841-1799-1-Z;Margi Ruger;Hardware;Hardware;Issue;Low;1;2;Unknown;Open;2020-07-01
099-104870-7890-3-D;Ddene Lorne;Hardware;Hardware;Request;Medium;2;32;Unknown;Open;2020-07-16
535-154812-4203-2-Q;Ashien Mailes;Software;Access/Login;Request;Low;1;24;Satisfied;Open;2020-04-13
655-316133-8206-7-V;Daniele McBain;Security and Governance;Access/Login;Issue;Low;1;3;Satisfied;Open;2020-05-07
965-503451-2388-1-X;Annissa Kennham;Architecture;Hardware;Request;Medium;2;27;Satisfied;Waiting for Requestor Feedback;2020-09-09
400-817010-0093-5-V;Marlo Jellard;Networking;Access/Login;Issue;Low;1;13;Unknown;Open;2020-07-08
988-183123-8832-5-J;Dela Runcie;Hardware;Hardware;Issue;Low;1;32;Satisfied;Open;2020-06-19
854-963933-2972-0-F;Iver Vequaud;Architecture;Systems;Request;Unassigned;0;20;Unknown;Closed - No Action;2020-09-20
084-097203-2797-9-T;Merrilee Labone;Hardware;Systems;Request;Unassigned;0;34;Unknown;Open;2020-04-08
605-792045-9726-8-S;Clarabelle Nelligan;Security and Governance;Access/Login;Request;High;3;25;Satisfied;Waiting for Requestor Feedback;2020-04-28
163-214633-4353-3-I;Ted Quidenham;Hardware;Hardware;Request;Low;1;23;Unknown;Resolved;2020-08-21
050-889086-0151-3-N;Zorah Ghidetti;Networking;Access/Login;Issue;Medium;2;17;Unknown;Open;2020-10-20
262-457899-6792-7-E;Eldin Claque;Hardware;Hardware;Issue;Unassigned;0;36;Satisfied;Open;2020-05-26
567-885281-4211-8-W;Gerhardine Drinkhall;Security and Governance;Access/Login;Request;High;3;18;Unknown;Open;2020-07-30
645-347747-3310-9-L;Abagail Grewer;Architecture;Systems;Issue;Unassigned;0;14;Satisfied;Waiting for Requestor Feedback;2020-05-16
336-580718-6705-6-G;Shea Poad;Security and Governance;Access/Login;Request;High;3;8;Satisfied;Waiting for Requestor Feedback;2020-10-23
459-422238-2591-2-V;Delores Jakobssen;Hardware;Systems;Issue;High;3;27;Satisfied;Open;2020-08-03
446-040153-1661-2-X;Hannah Bannell;Security and Governance;Access/Login;Issue;Medium;2;25;Unknown;Open;2020-09-13
710-204280-8786-2-C;Delinda Pellamont;Networking;Systems;Request;Unassigned;0;1;Unknown;Open;2020-03-19
932-180775-2509-2-W;Ruthi Buret;Architecture;Systems;Request;Low;1;35;Satisfied;Open;2020-03-22
666-112278-0158-6-U;Allina Spurdle;Networking;Access/Login;Request;Medium;2;3;Satisfied;Open;2020-09-22
582-214617-3129-6-P;Rabi Ganny;Architecture;Hardware;Request;High;3;14;Unknown;Waiting for Requestor Feedback;2020-10-10
280-062391-2947-3-W;Norrie Gully;Hardware;Systems;Issue;Medium;2;27;Unknown;Open;2020-03-03
419-249219-1299-9-U;Cordula Robeson;Security and Governance;Access/Login;Request;Unassigned;0;21;Unknown;Resolved;2020-03-25
515-240804-6230-5-M;Leroy Matzaitis;Hardware;Systems;Issue;High;3;16;Satisfied;Open;2020-05-31
732-162931-4754-9-Z;Hildagard Durnall;Architecture;Systems;Request;Unassigned;0;3;Satisfied;Open;2020-07-27
592-423490-7379-0-I;Hobart Sedwick;Networking;Systems;Issue;Low;1;33;Unsatisfied;Open;2020-10-16
590-628592-6579-3-Z;Millicent Bendin;Software;Software;Issue;Unassigned;0;8;Unsatisfied;Open;2020-07-17
292-971956-3014-0-J;Afton Fishbourn;Hardware;Hardware;Request;Low;1;18;Unknown;Open;2020-04-08
144-959846-2175-3-M;Lynett Colegrove;Software;Access/Login;Request;Low;1;27;Unknown;Open;2020-04-11
123-818370-0490-0-M;Prudy Pratchett;Hardware;Systems;Issue;Low;1;21;Satisfied;Open;2020-06-28
133-060622-2504-3-K;Nell Keavy;Software;Access/Login;Issue;High;3;24;Satisfied;Open;2020-06-28
100-777954-8059-4-G;Doris Baglow;Networking;Systems;Issue;Unassigned;0;33;Satisfied;Open;2020-04-01
051-265274-8759-5-P;Emilie Surmeyers;Architecture;Hardware;Request;Low;1;3;Unknown;Open;2020-09-03
738-126659-8096-7-F;Alida Blasio;Architecture;Systems;Issue;Medium;2;17;Satisfied;Resolved;2020-05-27
888-217968-4358-4-F;Baxie Morriarty;Software;Access/Login;Issue;Unassigned;0;19;Unsatisfied;Open;2020-03-04
228-063561-6158-4-K;Karlen Keggin;Networking;Systems;Issue;Medium;2;34;Satisfied;Resolved;2020-06-07
466-489049-2810-0-A;Madel Gunby;Software;Software;Issue;Unassigned;0;27;Unsatisfied;Open;2020-04-22
521-779064-7588-6-D;Eugene Pirnie;Networking;Access/Login;Issue;Low;1;21;Satisfied;Open;2020-09-30
030-164042-1707-9-U;Caria Harg;Architecture;Hardware;Issue;Low;1;1;Satisfied;Waiting for Requestor Feedback;2020-10-15
844-251457-6613-5-X;Sandye Skellon;Architecture;Hardware;Request;Unassigned;0;11;Unknown;Resolved;2020-07-25
084-786246-6997-2-B;Sharyl Ducham;Software;Access/Login;Request;Unassigned;0;7;Satisfied;Open;2020-06-17
389-217278-0706-3-E;Gauthier Codi;Architecture;Hardware;Issue;Low;1;9;Unknown;Closed - No Action;2020-06-17
606-890806-5906-4-O;Giorgi Kermitt;Architecture;Hardware;Request;Medium;2;2;Unsatisfied;Open;2020-06-26
837-174886-0929-6-M;Collete Bene;Hardware;Systems;Issue;Unassigned;0;10;Unknown;Resolved;2020-04-28
585-970478-8321-9-U;Ana Pallas;Networking;Systems;Issue;Low;1;25;Satisfied;Resolved;2020-05-06
691-554184-2073-2-Q;Donovan Precious;Architecture;Systems;Request;Low;1;12;Unknown;Resolved;2020-05-31
323-621573-8248-2-Y;Terza Brinson;Software;Access/Login;Issue;Low;1;33;Unknown;Waiting for Requestor Feedback;2020-04-01
445-124663-6924-8-R;Beret Mariyushkin;Architecture;Systems;Request;Medium;2;22;Satisfied;Waiting for Requestor Feedback;2020-10-19
132-678063-1929-0-T;Shaun Lumm;Hardware;Systems;Issue;High;3;37;Unknown;Resolved;2020-07-14
040-694351-9197-2-N;Alisha Dumbare;Architecture;Systems;Request;Medium;2;25;Satisfied;Open;2020-07-14
758-030453-0867-8-Q;Renado Wrightem;Architecture;Systems;Issue;Medium;2;7;Satisfied;Waiting for Requestor Feedback;2020-04-03
708-132834-4424-0-Y;Merle Blumfield;Software;Software;Issue;High;3;7;Unknown;Open;2020-08-06
387-635092-7783-1-Z;Sonny Weiss;Hardware;Hardware;Request;Low;1;3;Satisfied;Open;2020-06-17
708-495683-2539-5-I;Adrea Knock;Networking;Hardware;Issue;Unassigned;0;34;Satisfied;Open;2020-09-04
966-735396-9509-1-S;Genevra Avarne;Hardware;Systems;Request;Unassigned;0;21;Satisfied;Resolved;2020-04-07
678-410219-5210-6-V;Anita Liddell;Software;Access/Login;Request;Low;1;30;Unknown;Waiting for Requestor Feedback;2020-04-01
051-345861-8374-3-Q;Harli Pickerill;Software;Software;Issue;High;3;30;Satisfied;Open;2020-09-15
627-629620-3587-0-I;Goddart Megahey;Security and Governance;Access/Login;Issue;Unassigned;0;35;Satisfied;Open;2020-07-13
697-050525-6386-3-M;Elias Severn;Architecture;Hardware;Request;Medium;2;16;Unknown;Open;2020-09-16
145-888069-6023-0-E;Pieter Grazier;Hardware;Hardware;Request;Medium;2;12;Unknown;Waiting for Requestor Feedback;2020-05-25
786-129893-7039-6-I;Miles Blest;Hardware;Hardware;Issue;Medium;2;17;Unknown;Open;2020-09-24
909-083353-9762-7-F;Cherilyn Lempenny;Architecture;Systems;Issue;Medium;2;29;Unsatisfied;Waiting for Requestor Feedback;2020-05-27
083-563767-3985-1-W;Natale Shepley;Networking;Hardware;Issue;Low;1;11;Unknown;Resolved;2020-08-06
731-758969-5840-7-F;Martynne Ligertwood;Security and Governance;Access/Login;Request;High;3;1;Unknown;Open;2020-03-14
219-567286-4078-2-F;Audrie Asipenko;Architecture;Hardware;Issue;Unassigned;0;10;Unknown;Resolved;2020-05-21
679-483173-2401-0-S;Maggee Luter;Software;Software;Issue;High;3;33;Unsatisfied;Open;2020-05-05
550-979594-3272-8-L;Andie Donaher;Networking;Systems;Request;Low;1;20;Satisfied;Open;2020-06-24
769-557704-9585-2-I;Edgar MacCaughey;Networking;Access/Login;Issue;High;3;12;Unknown;Open;2020-04-08
516-602586-9216-2-C;Kane Glassborow;Software;Software;Issue;Unassigned;0;15;Satisfied;Open;2020-10-20
901-371389-8058-2-G;Blair MacNeill;Hardware;Systems;Issue;Unassigned;0;18;Unknown;Resolved;2020-08-18
714-540224-8679-9-F;Sherri Rowth;Hardware;Hardware;Request;Low;1;34;Satisfied;Waiting for Requestor Feedback;2020-07-16
863-576359-7710-8-R;Homere Diben;Security and Governance;Access/Login;Request;Low;1;8;Satisfied;Open;2020-08-02
213-514153-9928-0-X;Allix Grimstead;Architecture;Systems;Request;High;3;11;Satisfied;Open;2020-08-18
147-701708-8067-3-D;Eben Eyckelberg;Hardware;Systems;Request;High;3;22;Satisfied;Open;2020-03-15
099-411431-7327-8-I;Rosabella McGrill;Architecture;Systems;Request;High;3;37;Satisfied;Open;2020-10-28
578-111113-0186-7-P;Shaylyn Kleinmintz;Networking;Systems;Request;Low;1;35;Unknown;Waiting for Requestor Feedback;2020-04-22
513-426315-1303-5-I;Myriam Daudray;Software;Software;Request;Unassigned;0;32;Unsatisfied;Closed - No Action;2020-04-21
362-329586-4737-5-E;Corena Kemp;Software;Access/Login;Request;Unassigned;0;35;Satisfied;Resolved;2020-10-27
232-434281-8048-4-T;Broddy Swindell;Software;Software;Request;Medium;2;3;Satisfied;Open;2020-09-16
348-787494-6242-8-D;Padget Tabbitt;Hardware;Systems;Issue;Low;1;21;Unknown;Open;2020-04-12
393-052740-5454-1-W;Madelina Pengilley;Security and Governance;Access/Login;Issue;Low;1;3;Unknown;Resolved;2020-07-10
401-428146-4425-6-I;Julianna Muncer;Networking;Hardware;Issue;Low;1;21;Satisfied;Open;2020-10-18
085-014122-1085-0-R;Ethan Blanpein;Architecture;Systems;Request;Unassigned;0;11;Satisfied;Open;2020-03-12
602-249603-6942-5-P;Valli Philippsohn;Security and Governance;Access/Login;Issue;Unassigned;0;16;Satisfied;Closed - No Action;2020-10-09
977-786248-3146-3-S;Panchito Favelle;Security and Governance;Access/Login;Request;Unassigned;0;15;Satisfied;Resolved;2020-06-27
302-176101-9757-2-U;Angelina Skryne;Software;Software;Issue;Unassigned;0;10;Satisfied;Open;2020-05-19
394-179833-0305-6-I;Hilary Lamp;Networking;Access/Login;Request;Medium;2;16;Satisfied;Open;2020-04-06
808-916245-1513-5-D;Weston Raggett;Software;Access/Login;Issue;Low;1;34;Unsatisfied;Open;2020-06-23
200-378954-5325-4-Y;Adelle Gricks;Hardware;Hardware;Request;Unassigned;0;14;Unknown;Open;2020-07-19
584-180258-3728-0-K;Durante Lissett;Architecture;Hardware;Issue;Low;1;7;Unknown;Open;2020-09-14
335-650654-9951-0-T;Faina McGrann;Architecture;Hardware;Issue;High;3;1;Unknown;Open;2020-09-04
993-302331-5598-8-A;Daffi Cottu;Software;Access/Login;Issue;Low;1;21;Unknown;Open;2020-04-14
147-280158-0176-0-M;Kelvin Meletti;Hardware;Hardware;Issue;Unassigned;0;26;Unknown;Waiting for Requestor Feedback;2020-07-08
496-361470-7509-2-R;Merci Lambersen;Software;Software;Request;High;3;35;Satisfied;Open;2020-07-18
928-908298-5789-8-R;Josy Willis;Security and Governance;Access/Login;Request;Low;1;30;Unknown;Open;2020-06-01
369-684707-5822-1-Z;Timofei Dressel;Networking;Systems;Request;Low;1;28;Satisfied;Closed - No Action;2020-05-09
569-412107-5845-1-S;Maggi Meyer;Networking;Hardware;Issue;Unassigned;0;12;Unknown;Resolved;2020-10-18
938-953561-9918-6-M;Justen Mostyn;Architecture;Systems;Request;Unassigned;0;30;Satisfied;Open;2020-09-29
096-001945-2245-7-E;Nell Bastick;Hardware;Systems;Issue;Low;1;31;Unknown;Open;2020-06-06
368-083365-7428-7-W;Hanan Mattersley;Architecture;Hardware;Request;Low;1;7;Satisfied;Open;2020-06-18
486-571036-6419-4-C;Malissa Flindall;Architecture;Systems;Request;Unassigned;0;26;Satisfied;Resolved;2020-09-15
866-990356-8325-1-L;Josephina Grimsell;Hardware;Systems;Issue;Medium;2;26;Unknown;Open;2020-09-27
341-620473-5718-9-P;Charmine Forestall;Networking;Hardware;Issue;High;3;5;Satisfied;Open;2020-09-15
726-007912-0647-0-O;Sutherland Brimmacombe;Software;Software;Issue;Low;1;32;Unsatisfied;Open;2020-04-25
171-517358-5953-4-X;Hinze Bottomer;Networking;Access/Login;Request;Low;1;11;Unknown;Open;2020-07-11
765-821044-6274-4-V;Jean Manderson;Networking;Systems;Issue;Unassigned;0;3;Satisfied;Resolved;2020-09-06
301-398385-0142-1-X;Cris Lummus;Networking;Hardware;Request;Unassigned;0;9;Satisfied;Resolved;2020-10-06
541-929559-2262-4-Z;Sherwood Simcox;Security and Governance;Access/Login;Issue;High;3;10;Satisfied;Closed - No Action;2020-07-19
859-198126-4110-5-M;Ruttger Elkington;Security and Governance;Access/Login;Request;High;3;14;Satisfied;Closed - No Action;2020-06-02
131-750913-0576-1-T;Rosy McAteer;Hardware;Systems;Request;Medium;2;21;Satisfied;Waiting for Requestor Feedback;2020-05-23
175-219710-2756-8-C;Carlo Simpkin;Architecture;Systems;Issue;Low;1;7;Unsatisfied;Resolved;2020-06-25
761-465341-8984-1-T;Marsh McAleese;Security and Governance;Access/Login;Issue;Low;1;20;Satisfied;Open;2020-05-06
151-190179-4950-3-B;Olenolin Nickols;Hardware;Systems;Issue;High;3;25;Satisfied;Open;2020-07-04
568-112196-2337-1-S;Claribel Guly;Hardware;Hardware;Issue;Medium;2;32;Unsatisfied;Waiting for Requestor Feedback;2020-05-04
273-491613-2786-9-X;Cate Worham;Security and Governance;Access/Login;Request;Low;1;23;Satisfied;Resolved;2020-03-12
271-331145-2722-9-P;Cecelia Rumsby;Architecture;Hardware;Request;Low;1;34;Unsatisfied;Open;2020-04-03
234-375879-4465-1-F;Ricki Bilbee;Software;Access/Login;Request;Unassigned;0;12;Satisfied;Waiting for Requestor Feedback;2020-03-19
074-616744-8986-0-N;Isidore MacAless;Networking;Systems;Request;Low;1;8;Unknown;Open;2020-06-19
111-036401-3460-5-P;Lizzie Iacovelli;Networking;Access/Login;Issue;Low;1;19;Satisfied;Resolved;2020-06-27
247-321413-3811-5-Z;Fayette Pearce;Security and Governance;Access/Login;Issue;Low;1;20;Unknown;Open;2020-04-28
672-655870-9527-1-D;Orran Jandera;Networking;Systems;Request;Medium;2;35;Unknown;Open;2020-08-22
005-340507-9905-4-F;Talbot Pietrzyk;Security and Governance;Access/Login;Request;Medium;2;24;Unknown;Open;2020-03-25
917-393427-4877-1-Z;Roberto Voaden;Hardware;Hardware;Request;Medium;2;7;Satisfied;Resolved;2020-03-20
245-622631-0411-3-L;Philis Krauze;Networking;Hardware;Issue;Low;1;32;Satisfied;Open;2020-04-17
294-870541-4303-6-O;Freddy Stetlye;Networking;Hardware;Issue;Unassigned;0;35;Satisfied;Waiting for Requestor Feedback;2020-03-18
047-776960-1163-1-W;Candis Bryde;Networking;Hardware;Issue;Medium;2;10;Satisfied;Waiting for Requestor Feedback;2020-07-21
867-701847-1778-2-L;Kain Hodjetts;Software;Software;Issue;Low;1;5;Unknown;Open;2020-04-18
904-685403-3883-7-V;Nathanil Cowell;Networking;Hardware;Request;Low;1;4;Satisfied;Open;2020-06-10
582-943885-5458-1-D;Ev Raulston;Security and Governance;Access/Login;Issue;Medium;2;1;Unknown;Open;2020-10-18
119-238275-1222-5-E;Erwin Cadge;Architecture;Hardware;Request;Low;1;31;Unknown;Open;2020-06-23
899-582508-4034-8-P;Abagail Liddy;Networking;Systems;Request;Low;1;26;Satisfied;Resolved;2020-06-30
555-331274-8102-6-A;Blanca Izkovitch;Architecture;Hardware;Request;Low;1;8;Satisfied;Open;2020-06-24
794-603349-7462-7-X;Elfrieda Southey;Software;Software;Request;Medium;2;35;Satisfied;Open;2020-08-28
429-787157-9767-3-U;Amberly Prestidge;Networking;Hardware;Issue;Medium;2;28;Unknown;Waiting for Requestor Feedback;2020-04-04
732-764454-2859-2-X;Stan Norster;Architecture;Hardware;Request;High;3;27;Satisfied;Open;2020-03-22
151-456810-3473-0-W;Jermaine Effemy;Security and Governance;Access/Login;Request;Unassigned;0;26;Satisfied;Open;2020-07-19
239-028961-2643-8-W;Hollis Treleven;Networking;Systems;Issue;Medium;2;18;Satisfied;Open;2020-08-26
618-255947-5569-6-N;Isabella Boyne;Architecture;Hardware;Issue;Medium;2;23;Satisfied;Open;2020-08-14
596-193354-8155-8-B;Fredra Culleton;Security and Governance;Access/Login;Request;Low;1;7;Unsatisfied;Open;2020-05-17
617-872253-3736-5-J;Hermann Sang;Software;Software;Request;Medium;2;24;Unsatisfied;Open;2020-03-31
405-935591-8737-0-F;Pennie McKelvey;Architecture;Systems;Issue;Low;1;1;Satisfied;Resolved;2020-10-14
151-377261-4112-6-O;Micky O'Feeny;Hardware;Systems;Issue;Low;1;17;Satisfied;Open;2020-09-24
364-555333-3054-5-Y;Giuseppe Dowty;Security and Governance;Access/Login;Request;Unassigned;0;20;Satisfied;Resolved;2020-07-07
340-455148-7307-8-X;Xylina Coultar;Networking;Access/Login;Request;Low;1;2;Satisfied;Open;2020-06-19
749-455583-3368-5-S;Dorisa Hoffman;Security and Governance;Access/Login;Request;High;3;4;Unknown;Open;2020-04-30
193-090245-4226-9-M;Pernell Ca;Security and Governance;Access/Login;Request;Unassigned;0;19;Unknown;Open;2020-06-13
507-173639-0494-1-I;Logan Layfield;Hardware;Systems;Issue;High;3;7;Unknown;Open;2020-10-10
383-564035-2894-6-Q;Benjy Trueman;Security and Governance;Access/Login;Issue;Low;1;14;Unsatisfied;Open;2020-04-27
181-284598-8029-4-D;Avivah Hovert;Software;Access/Login;Request;Medium;2;28;Unknown;Resolved;2020-03-09
682-301773-7263-5-B;Winn Petruszka;Architecture;Hardware;Request;Medium;2;18;Satisfied;Resolved;2020-05-26
103-591879-1296-1-C;Brody Blick;Networking;Access/Login;Issue;Medium;2;19;Unknown;Open;2020-06-30
368-442125-6163-9-R;Gerrilee Soutter;Software;Software;Request;Medium;2;19;Unsatisfied;Open;2020-06-29
485-975808-6364-7-K;Hasheem Pattinson;Software;Software;Request;Unassigned;0;24;Unknown;Resolved;2020-03-31
455-907277-3482-3-F;Liv Gravy;Security and Governance;Access/Login;Issue;Unassigned;0;11;Unknown;Open;2020-08-11
